Date,Year,Month,Region,Feeder,PoleNumber,AssetID,EquipmentType,Latitude,Longitude,AgeYears,ConditionScore,LoadA,WoodenPoleTiltDeg,InterferenceM,InsulatorContaminationPct,ArresterLeakageCurrentmA,FailureCount12M,MaintenanceOverdueDays,ConsequenceScore,RiskIndex,CriticalFlag,InspectionCostUSD,FailureImpactUSD,RecommendedAction
2024-01-01,2024,Jan,South,A LINE,P1,OHL-001,Overhead Line,22.660817,120.265285,7.0,5.04,214.0,9.43,4.38,,,1,85,77.9,51.9,0,138,6349,Routine monitoring
2024-01-01,2024,Jan,South,D LINE,P1,OHL-002,Overhead Line,22.561172,120.261609,17.7,4.61,212.6,8.39,4.22,,,2,21,79.4,58.1,0,154,6576,Routine monitoring
2024-01-01,2024,Jan,South,D LINE,P2,OHL-003,Overhead Line,22.619889,120.269947,28.2,8.32,222.5,8.55,4.29,,,2,25,78.0,54.6,0,151,6529,Routine monitoring
2024-01-01,2024,Jan,Central,B LINE,P2,OHL-004,Overhead Line,24.20501,120.649123,5.7,4.98,217.2,6.1,4.03,,,2,87,81.8,55.7,0,156,7463,Routine monitoring
2024-01-01,2024,Jan,North,D LINE,P5,OHL-005,Overhead Line,25.025476,121.291121,5.3,6.47,208.2,7.24,4.04,,,0,66,87.8,47.1,0,151,6256,Routine monitoring
2024-01-01,2024,Jan,Central,B LINE,P6,OHL-006,Overhead Line,24.080738,120.694577,25.4,9.05,218.9,6.92,4.66,,,1,97,87.7,54.1,0,152,6849,Routine monitoring
2024-01-01,2024,Jan,Central,C LINE,P4,OHL-007,Overhead Line,24.159996,120.653077,13.7,5.65,220.1,7.52,4.08,,,2,23,86.1,57.7,0,194,7892,Routine monitoring
2024-01-01,2024,Jan,South,A LINE,P5,OHL-008,Overhead Line,22.645897,120.30578,10.1,6.77,219.4,8.93,3.7,,,0,32,86.7,49.3,0,115,6565,Routine monitoring
2024-01-01,2024,Jan,South,B LINE,P6,OHL-009,Overhead Line,22.6024,120.338564,4.6,8.4,213.9,7.67,4.67,,,0,86,79.2,42.4,0,130,5951,Routine monitoring
2024-01-01,2024,Jan,North,B LINE,P5,OHL-010,Overhead Line,25.130691,121.206055,22.0,6.76,210.9,7.8,3.81,,,1,111,79.1,53.9,0,168,6513,Routine monitoring
2024-01-01,2024,Jan,Central,B LINE,P2,OHL-011,Overhead Line,24.175298,120.677457,24.7,6.98,208.0,6.31,4.26,,,1,70,76.4,53.1,0,174,6218,Routine monitoring
2024-01-01,2024,Jan,North,D LINE,P1,OHL-012,Overhead Line,25.11381,121.282554,7.4,5.68,210.8,7.45,3.97,,,0,67,76.5,47.7,0,122,5735,Routine monitoring
2024-01-01,2024,Jan,Central,D LINE,P5,OHL-013,Overhead Line,24.210457,120.676076,31.2,8.92,222.1,7.71,4.36,,,1,0,79.1,52.3,0,162,6217,Routine monitoring
2024-01-01,2024,Jan,South,C LINE,P6,OHL-014,Overhead Line,22.604625,120.27209,7.6,5.15,215.4,6.48,4.22,,,2,71,81.4,55.7,0,176,6730,Routine monitoring
